"LineDiscount","CustomerUnit","Municipality","County","Country","NoOfEmployees","Potential","AccessoryRatio","NSB","CPLow","Days","TargetDays","NrOfOrder","Software"
"No","SMB Mid","Herlev","Hovedstaden","Denmark","30","287700","0,376095","240051,62","0,178019628",5,771,65,"Yes"
"No","SMB Large","Stockholm","Stockholm","Sweden","6,5","54535","0,250729","12750,8","0,110698937",61,9999,2,"No"
"No","SMB Small","Avesta","Dalarna","Sweden","6,5","0","0,190609","14821,02","0,120667808",407,9999,2,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","1,3","10907","0,017792","88857,36","0,084714311",69,9999,11,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","103,1","0","1","7945","0,201768408",397,9999,1,"No"
"No","SMB Small","Esbjerg","Syddanmark","Denmark","1,3","16653","1","5718,53","0,201100633",5,9999,2,"No"
"No","SMB Small","Helsingborg","Skåne","Sweden","1,8","15102","0,042571","37772","0,11796966",236,690,4,"Yes"
"No","SMB Mid","Grästorp","Västra Götaland","Sweden","13,4","148204","0,206376","21310,6","0,171279551",238,295,8,"Yes"
"No","SMB Small","Stockholm","Stockholm","Sweden","13,4","145926","0,11935","363391,91","0,103655967",8,302,53,"Yes"
"No","SMB Small","Håbo","Uppsala","Sweden","6,5","76245","0,376913","116345","0,139397224",77,9999,30,"No"
"Yes","SMB Small","Örnsköldsvik","Västernorrland","Sweden","1,8","19602","0","11097","0,020854285",313,9999,1,"No"
"No","SMB Small","Värnamo","Jönköping","Sweden","1,8","0","0,858558","6356","0,157150724",564,9999,1,"No"
"No","SMB Small","Aalborg","Nordjylland","Denmark","1,8","45594","0,344997","56010,55","0,11740074",36,9999,8,"No"
"No","SMB Mid","Haderslev","Syddanmark","Denmark","76,3","731717","1","202,22","0,389427356",211,9999,1,"No"
"No","SMB Small","Örnsköldsvik","Västernorrland","Sweden","1,8","0","0,366235","8044","0,12862009",502,9999,2,"No"
"No","Public","København","Hovedstaden","Denmark","770","7808542,6","0,257943","81619,71","0,093018218",15,9999,17,"No"
"No","SMB Small","Svendborg","Syddanmark","Denmark","13,4","0","0,86696","7927,79","0,200050708",525,9999,3,"No"
"No","SMB Small","Boden","Norrbotten","Sweden","1,8","12024","0,296059","8147","0,122499079",151,9999,2,"No"
"No","SMB Small","Not Defined","Not Defined","Sweden","1","0","0","861045,5","0,047440582",18,9999,1,"No"
"No","SMB Small","Partille","Västra Götaland","Sweden","1,8","19602","0","804","0,303681592",40,505,2,"Yes"
"No","SMB Small","Göteborg","Västra Götaland","Sweden","1,3","0","0","14071","0,129844361",645,684,3,"Yes"
"No","SMB Mid","Tibro","Västra Götaland","Sweden","30","351900","0,38923","27986","0,188681126",334,9999,12,"No"
"No","SMB Small","Upplands Väsby","Stockholm","Sweden","1,8","0","0,342062","7446","0,114114961",704,9999,1,"No"
"No","SMB Small","Malmö","Skåne","Sweden","1,8","0","0","6339","0,039064521",427,9999,1,"No"
"No","SMB Small","Bornholm","Hovedstaden","Denmark","1,3","16653","0,359774","1663,71","0,12467317",358,9999,1,"No"
"No","SMB Small","Malung-Sälen","Dalarna","Sweden","1,3","0","0","5465,72","0,082803364",441,441,1,"Yes"
"No","SMB Small","Stevns","Sjælland","Denmark","13,4","128506","0","12850,53","0,120496976",237,9999,1,"No"
"Yes","SMB Large","Eskilstuna","Södermanland","Sweden","30","351900","0,097447","260431,71","0,08756929",18,9999,47,"No"
"Yes","Public","Kalmar","Kalmar","Sweden","7611,2","68674149,97","0,073211","42934480,52","0,019570983",1,6,1721,"Yes"
"No","SMB Small","Haugesund","Rogaland","Norway","1,8","22104","0,063918","28003,16","0,154714325",8,9999,8,"No"
"No","SMB Small","Skövde","Västra Götaland","Sweden","6,5","70785","0,160873","60575,4","0,127618637",75,692,6,"Yes"
"No","SMB Small","Kristianstad","Skåne","Sweden","1,3","14157","0,191563","5429","0,123184749",32,9999,2,"No"
"No","SMB Small","Kungälv","Västra Götaland","Sweden","1,8","0","0,145773","31981,2","0,119091216",441,9999,5,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","1,3","0","0","6834","0,167822651",652,9999,2,"No"
"No","SMB Small","København","Hovedstaden","Denmark","13,4","339422","0,413468","18094,3","0,229127957",53,9999,8,"No"
"No","SMB Small","Høje-Taastrup","Hovedstaden","Denmark","6,5","49920","0","6685,67","0,111821254",204,9999,1,"No"
"No","SMB Small","Vetlanda","Jönköping","Sweden","1,3","11531","0,078812","10138","0,092703689",46,9999,2,"No"
"No","SMB Small","Bærum","Akershus","Norway","1,8","13374","1","1155,99","0,254448568",250,9999,1,"No"
"Yes","SMB Small","Vellinge","Skåne","Sweden","1,8","15102","0,026655","30777,54","0,063914465",259,743,10,"Yes"
"No","SMB Small","Furesø","Hovedstaden","Denmark","1,8","45594","1","387,87","0,103771882",336,9999,1,"No"
"No","SMB Small","Norrköping","Östergötland","Sweden","6,5","56810","0,094631","9616,2","0,227963229",47,357,3,"Yes"
"No","SMB Small","Mölndal","Västra Götaland","Sweden","13,4","112426","0,188767","11093","0,147039575",11,9999,2,"No"
"No","SMB Small","Not Defined","Not Defined","Denmark","1","0","0,106204","2472,58","0,095471127",11,9999,1,"No"
"No","SMB Small","Göteborg","Västra Götaland","Sweden","1,3","11687","0,220978","38677,96","0,130870915",25,25,18,"Yes"
"No","SMB Small","Stockholm","Stockholm","Sweden","13,4","0","0","7247","0,069737823",470,9999,3,"No"
"No","SMB Small","Halmstad","Halland","Sweden","6,5","0","0","18540,01","0,046531259",697,725,2,"Yes"
"No","Corporate","Stockholm","Stockholm","Sweden","2,6","18366,07","0,247645","171907,02","0,142157487",85,9999,62,"No"
"No","SMB Small","Not Defined","Not Defined","Norway","1","0","0,491513","1531,78","0,281156563",5,9999,1,"No"
"No","SMB Small","Strängnäs","Södermanland","Sweden","6,5","70785","0,666952","1168","0,297457192",239,9999,1,"No"
"No","SMB Small","Brøndby","Hovedstaden","Denmark","13,4","128506","0,070012","96870,35","0,217148075",29,9999,17,"No"
"Yes","SMB Large","København","Hovedstaden","Denmark","30","384300","0,087286","1158009,99","0,100768993",1,40,188,"Yes"
"No","SMB Mid","Trelleborg","Skåne","Sweden","30","251700","0,131213","44568,7","0,13369405",155,9999,15,"No"
"No","SMB Small","Landskrona","Skåne","Sweden","1,8","0","0,309501","5357","0,123686765",554,9999,2,"No"
"No","SMB Small","Varberg","Halland","Sweden","1,3","0","0,713944","2094","0,33465616",392,9999,2,"No"
"No","SMB Mid","Österåker","Stockholm","Sweden","30","266100","1","13046,4","0,230372363",260,9999,2,"No"
"No","SMB Small","Mora","Dalarna","Sweden","1,8","0","1","900","0,484",636,9999,1,"No"
"No","SMB Small","Haninge","Stockholm","Sweden","1,3","5938,4","0","3091","0,042646393",139,9999,1,"No"
"No","SMB Small","Kinda","Östergötland","Sweden","1,3","13598","0,327633","5262,01","0,095796093",312,9999,1,"No"
"No","SMB Mid","Steinkjer","Nord-Trøndelag","Norway","30","168000","0,174056","143927,79","0,094464106",277,9999,10,"No"
"No","SMB Small","Not Defined","Not Defined","Sweden","1","0","0","2479","0,110294474",19,9999,1,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","13,4","295604","0,071086","138085,56","0,121797964",236,417,21,"Yes"
"Yes","Public","Stavanger","Rogaland","Norway","68","179656","0,090663","370760,24","0,087318991",39,155,43,"Yes"
"No","SMB Small","Norrköping","Östergötland","Sweden","13,4","140164","0","13040","0,152992331",284,284,2,"Yes"
"No","SMB Small","Simrishamn","Skåne","Sweden","1,3","14157","0,235899","56803,85","0,105327896",321,669,15,"No"
"No","SMB Small","Rantasalmi","Etelä-Savo","Finland","1,8","4928,4","0","2027,26","0,171226187",244,9999,1,"No"
"No","SMB Small","Sønderborg","Syddanmark","Denmark","36,5","280320","0,261718","83201,96","0,098578928",6,9999,19,"No"
"No","SMB Small","Køge","Sjælland","Denmark","1,8","45594","0,323186","5095,33","0,126753321",309,9999,3,"No"
"No","SMB Small","Solna","Stockholm","Sweden","6,5","54535","0,429682","49127","0,17841981",28,9999,13,"No"
"No","SMB Small","Västerås","Västmanland","Sweden","1,8","15102","0","4942,6","0,054048477",8,9999,5,"No"
"No","SMB Small","Göteborg","Västra Götaland","Sweden","13,4","112426","0,174384","1015","0,133004926",287,9999,1,"No"
"No","SMB Small","Täby","Stockholm","Sweden","1,8","0","0,262541","30627,53","0,111376595",461,799,5,"Yes"
"No","SMB Small","Stockholm","Stockholm","Sweden","1,8","0","1","3095","0,138849758",725,9999,1,"No"
"No","SMB Small","Dragør","Hovedstaden","Denmark","-1","12467","0","925,64","0,283565965",344,9999,1,"No"
"No","SMB Small","Göteborg","Västra Götaland","Sweden","1,3","0","0,343493","6693","0,089988047",701,9999,2,"No"
"No","SMB Small","Asker","Akershus","Norway","1,3","14859","0,255108","38332,29","0,141974821",68,9999,10,"No"
